company_name,Email,Website,Contact
Sarong Thai Co Ltd,email: sarongthai@gmail.com,NaN,T.463-0068|463-3816F.463-5098
Thai Textile Printing Co Ltd,email: textile2@shcoms.com| textile@ttpp.co.th,www.ttpp.co.th,T.323-9067-9|323-1165-7|337-1267-75F.323-9631|709-5795
Kongka Textile Mill Co Ltd,NaN,NaN,T.926-8900|926-8600F.926-8909
United Textile Mills Co Ltd,email: utm@unitedtextilemills.com,www.unitedtextilemills.com,T.812-7211-7F.420-3408|420-0688
Siam Knitwear Garment Co Ltd,email: edmond@skw.co.th,www.siamknitwear.com,T.379-3230-40F.379-4485
Rerkchaianun Co Ltd,NaN,NaN,T.323-9070-4F.323-9416
Sahamitr Bleaching Dyeing Co Ltd,NaN,NaN,T.679-3018-9|286-2642F.285-5833
Sampran Weaving Co Ltd,email: sampran@wnet.net.th,NaN,T.420-1220|420-6079-85|420-1424F.420-3194
Nan Yang Knitting Factory Co Ltd,email: wisan.w@nanyangtextile.com,www.nanyangtextile.com,T.421-2160|421-2150F.421-3774|421-1066|421-3774
,NaN,NaN,โทรศัพท์/โทรสาร
Thanapaisal R O P,NaN,NaN,T.233-1100F.236-7766
Subsakul Co Ltd,email: sabsakul@yahoo.com,NaN,T.394-4433|394-0062F.394-0669
Benjakit Dyeing Co Ltd,NaN,NaN,T.463-5256-8|932-4329F.462-7192
Asia Fiber PCL,email: sales@asiafiber.com,www.asiafiber.com,T.632-7071-85F.236-1982
Jong Stit Co Ltd,email: jsc@jongstit.com,www.jongstit.com,T.416-0112-8|416-1111F.416-6320-30
Mun Ying Co Ltd,email: mkt@munying.com,www.munying.com,T.892-1551-60F.892-1567-9
Choke Chai Industry Co Ltd,email: peng-grover@hotmail.com,NaN,T.(034)321-204F.(034)321-204
Nobletex Dyeing Co Ltd,NaN,NaN,T.420-5778-82F.420-4773
Sin Heng Towel Ltd Part,email: pravitsh@asianet.co.th,NaN,T.464-1023|463-5969F.464-1020|463-7234
Sri Thai Silp Industry Ltd Part,email: toemchai@inet.co.th,NaN,T.810-1002-5F.810-0539-40
Futuretex Co Ltd,email: futuret@asianet.co.th,NaN,T.425-8939|425-8199F.819-7646
Golden Thai Industries Co Ltd,NaN,www.goldent.co.th,T.326-6689-91|326-8441-2F.326-6692|326-8531
Colour Best Dyeing and Finishing Co Ltd,NaN,NaN,T.214-5185F.216-9146
The Thai Printers Finishing Co Ltd,NaN,NaN,T.632-8100F.237-1018-9
Thai Wacoal Public Co Ltd,NaN,www.wacoal.co.th,T.289-3100-9|291-0851|689-8500|689-8310F.291-1788
Santavee Textile Co Ltd,email: santavee@santaveetextiles.com,www.santaveetextiles.com,T.463-6567|464-2983-6F.464-2987
The Thai Silk Co Ltd,NaN,www.jimthompson.com,T.762-2600F.762-2609
Thong Thai Textile Co Ltd,Email: ttsp@loxinfo.co.th,NaN,T.(034)323-297-8F.(034)323-296
Union Textile Industries Public Co Ltd,NaN,www.sahaunion.co.th,T.311-5111F.332-3123
Chieng Sang Textile Industries Ltd,email: sanit04@gmail.com,NaN,T.429-1030|429-1238|810-1427-9F.429-1377
Thai Printing Dyeing Co Ltd,email: tpd@thaiprintingdyeing.com,www.thaiprintingdyeing.com,T.463-0064|463-0973F.464-2580|818-7405
Kitpahattana Printing Dyeing Co Ltd,email: kpnprint@cscoms.com,NaN,T.(034)472-940-2F.(034)472-939
Chok Chai Usahagram Ltd Part,NaN,NaN,T.328-7286|328-8221F.328-7287
Sinsaenee Co Ltd,email: tuta@ji-net.com,NaN,T.425-1270-5F.425-1276
Capital Rayon Co Ltd,email: capitalcompany@hotmail.com| capitalcompany@clickta.com,NaN,T.223-1412|225-9387-90F.225-5195
Saiviwat Industrial Co Ltd,email: svw_ind@yahoo.com,NaN,T.415-0130-2|415-2054F.895-6538|895-6603
Penatex Industires Co Ltd,email: info@penatex.com,www.penatex.com,T.381-6895-6F.381-1588|712-7980
Rama Textile Industry Co Ltd,email: thaitex@tti.co.th,NaN,T.719-6495-9F.719-6414
Capital Tricot Textile Co Ltd,email: sales@captricot.com,www.captricot.com,T.630-4880F.630-4881
B S Textile Dyeing Finishing Ltd,NaN,NaN,T.(034)470-389|473-144F.(034)473-143
Fancy Textile Munufacturing Co Ltd,email: fantex@ksc.th.com,www.fancytextile.com,T.463-4479|463-6362F.463-1278
Far East Knitting Spinning Co Ltd,email: fedyeing@fareastknitting.com,NaN,T.294-0081-9F.294-0096-7
Bangkok Paisarn Textile Industy Co Ltd,email: bpkcottd@asiaaccess.net.th,NaN,T.463-0156-7F.464-1496|463-7436
Soonthorn Printing Co Ltd,NaN,NaN,T.324-0944-7F.324-0948
Srithong Industry Ltd Part,NaN,NaN,T.420-1156|811-4599F.420-0943|811-4593
Y R C Textile Co Ltd,email: nopporn@yrctextile.com| niphan@yrctextile.com,www.yrctextile.com,T.440-0860-79F.440-0907
Aswin Dyeing Finishing Co Ltd,email: bwm@bwm-group.com,www.bwmthai.com,T.586-0901-14|585-1112F.587-2338|585-3882
Thai Filament Finishing Co Ltd,email: sales@mail.tptt.co.th| sales@tptt.co.th,www.tptt.co.th,T.337-1267-75F.337-1522|337-1222
,NaN,NaN,โทรศัพท์/โทรสาร
Boon Chuay Industrial Co Ltd,email: sales@boonchuay.com,www.boonchuay.com,T.222-2610|222-9237|223-4747F.225-8737
Prasertsomboon Textile Co Ltd,email: psb888@asianet.co.th,NaN,T.431-0055F.811-5945-6
Pattaya Printing Dyeing Co Ltd,email: sales@pnt-group.com,NaN,T.323-9080-4F.710-6098|323-1302
Cherdchaipatana Printing Dyeing Co Ltd,NaN,NaN,T.(034)471-046-7F.(034)473-440
Colourtech International Co Ltd,email: cti@jintana.com,www.Jintanagarment.com,T.446-8050-5|446-8000#501-2F.446-8059|446-8035
Mandarin Spinning Industry Co Ltd,email: mandarin@anet.net.th,NaN,T.622-5337-42F.222-4950|225-4457|225-4576
Satin Textile Co Ltd,NaN,www.satintextiles.com,T.440-0955F.440-0933-4|440-0924
Praneatsilp Co Ltd,NaN,NaN,T.323-1173-6F.323-1177|709-5898
T U W Textile Co Ltd,email: kairach@tuw.co.th,www.tuw.co.th,T.(034)239-290F.(034)389-124
Silp Printing Industry Ltd Part,email: silp111@yahoo.com,NaN,T.(034)287-740-2F.(034)385-345|292-139
Siam Acrylic Co Ltd,NaN,NaN,T.438-3849-51F.438-0471
Pacific Knitting Factory Ltd Part,email: pacific1968@inet.co.th,NaN,T.431-0080F.420-0419
SSDC Tigertex Co Ltd,email: tigertex@asia.com,www.ssdc-tigertex.com,T.295-0368-70F.295-1157
